date,type,onboarded_type,dev_id,model,status,sub_status,status_msg,online_status,training_id,partner,fep_agent_nin,center,api_user,custodian,country,state,lga,ward,purpose,activation_date,serial_number,storage,os_name,os_version,app_version,processor_speed,avail_storage,ram,imsi,imei,network_strength,network_type,latitude,longitude,capture_time,update_time,battery,camera,screen_size,screen_resolution,architecture,gps_module,fingerprint,otg,printer,country_pings,state_pings,lga_pings,ward_pings,workflow,increment,data
"2024-10-13 11:10:40",desktop_computers,created,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",test,dup_fep,"Lorem ipsum dolor sit, amet consectetur adipisicing elit. Consectetur nemo explicabo iusto facilis dignissimos unde id sint! Dolorum odit, vitae animi consequuntur fugit qui deleniti soluta cum, repudiandae, laudantium, nam.",online,,SEAMFIX001,11288038651,,,ent13u36310605911356868202,nigeria,AD,10003,,"Lorem ipsum dolor sit, amet consectetur adipisicing elit. Consectetur nemo explicabo iusto facilis dignissimos unde id sint! Dolorum odit, vitae animi consequuntur fugit qui deleniti soluta cum, repudiandae, laudantium, nam.","2024-10-13 11:10:40","Lorem ipsum dolor sit.",1607605297,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",2044451722,1930230265,1289990680,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",391538882,2044801155,"2024-10-13 11:10:40","2024-10-13 11:10:40","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",819673257,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",,,,,"Lorem ipsum dolor sit.",943552294,"Lorem ipsum dolor sit."
"2024-10-13 11:10:40",smartphones,created,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",flagged,dup_fep,"Lorem ipsum dolor sit, amet consectetur adipisicing elit. Consectetur nemo explicabo iusto facilis dignissimos unde id sint! Dolorum odit, vitae animi consequuntur fugit qui deleniti soluta cum, repudiandae, laudantium, nam.",online,,Qa-test123,35991362173,,,ent13u36310605911356868202,nigeria,AD,10001,,"Lorem ipsum dolor sit, amet consectetur adipisicing elit. Consectetur nemo explicabo iusto facilis dignissimos unde id sint! Dolorum odit, vitae animi consequuntur fugit qui deleniti soluta cum, repudiandae, laudantium, nam.","2024-10-13 11:10:40","Lorem ipsum dolor sit.",1777702313,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",179428155,354922029,1300348845,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",455463826,1029811436,"2024-10-13 11:10:40","2024-10-13 11:10:40","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",141072035,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",,,,,"Lorem ipsum dolor sit.",1099173155,"Lorem ipsum dolor sit."
"2024-10-13 11:10:40",mobile,created,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",pending_activation,diff_fep,"Lorem ipsum dolor sit, amet consectetur adipisicing elit. Consectetur nemo explicabo iusto facilis dignissimos unde id sint! Dolorum odit, vitae animi consequuntur fugit qui deleniti soluta cum, repudiandae, laudantium, nam.",offline,,Qa-test123,15055609632,,,ecf551b0281de2e347ad8ba6129301e8,nigeria,AK,10002,,"Lorem ipsum dolor sit, amet consectetur adipisicing elit. Consectetur nemo explicabo iusto facilis dignissimos unde id sint! Dolorum odit, vitae animi consequuntur fugit qui deleniti soluta cum, repudiandae, laudantium, nam.","2024-10-13 11:10:40","Lorem ipsum dolor sit.",468725081,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",1955930084,603421325,543102220,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",1848115711,743275148,"2024-10-13 11:10:40","2024-10-13 11:10:40","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",1841361588,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",,,,,"Lorem ipsum dolor sit.",1941307696,"Lorem ipsum dolor sit."
"2024-10-13 11:10:40",desktop_computers,created,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",disabled,diff_fep,"Lorem ipsum dolor sit, amet consectetur adipisicing elit. Consectetur nemo explicabo iusto facilis dignissimos unde id sint! Dolorum odit, vitae animi consequuntur fugit qui deleniti soluta cum, repudiandae, laudantium, nam.",online,,SEAMFIX001,35991362173,,,ecf551b0281de2e347ad8ba6129301e8,nigeria,AK,10002,,"Lorem ipsum dolor sit, amet consectetur adipisicing elit. Consectetur nemo explicabo iusto facilis dignissimos unde id sint! Dolorum odit, vitae animi consequuntur fugit qui deleniti soluta cum, repudiandae, laudantium, nam.","2024-10-13 11:10:40","Lorem ipsum dolor sit.",1401559471,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",1053449678,809282651,1258069828,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",737979600,2075397318,"2024-10-13 11:10:40","2024-10-13 11:10:40","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",1144811528,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",,,,,"Lorem ipsum dolor sit.",979168146,"Lorem ipsum dolor sit."
"2024-10-13 11:10:40",mobile,self-onboarded,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",disabled,dup_fep,"Lorem ipsum dolor sit, amet consectetur adipisicing elit. Consectetur nemo explicabo iusto facilis dignissimos unde id sint! Dolorum odit, vitae animi consequuntur fugit qui deleniti soluta cum, repudiandae, laudantium, nam.",offline,,SEAMFIX001,11288038651,,,ent13u3623147441521433280,nigeria,AK,10001,,"Lorem ipsum dolor sit, amet consectetur adipisicing elit. Consectetur nemo explicabo iusto facilis dignissimos unde id sint! Dolorum odit, vitae animi consequuntur fugit qui deleniti soluta cum, repudiandae, laudantium, nam.","2024-10-13 11:10:40","Lorem ipsum dolor sit.",1598486162,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",1114929375,835344334,21207092,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",269016971,101586387,"2024-10-13 11:10:40","2024-10-13 11:10:40","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",784802678,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",,,,,"Lorem ipsum dolor sit.",1765794219,"Lorem ipsum dolor sit."
"2024-10-13 11:10:40",laptops,self-onboarded,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",onboarded,dup_fep,"Lorem ipsum dolor sit, amet consectetur adipisicing elit. Consectetur nemo explicabo iusto facilis dignissimos unde id sint! Dolorum odit, vitae animi consequuntur fugit qui deleniti soluta cum, repudiandae, laudantium, nam.",online,,Nftt,15055609632,,,ent13u3623147441521433280,nigeria,AB,10003,,"Lorem ipsum dolor sit, amet consectetur adipisicing elit. Consectetur nemo explicabo iusto facilis dignissimos unde id sint! Dolorum odit, vitae animi consequuntur fugit qui deleniti soluta cum, repudiandae, laudantium, nam.","2024-10-13 11:10:40","Lorem ipsum dolor sit.",1823310457,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",411786555,1778791436,794094693,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",304652899,957156882,"2024-10-13 11:10:40","2024-10-13 11:10:40","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",66179023,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",,,,,"Lorem ipsum dolor sit.",1930851925,"Lorem ipsum dolor sit."
"2024-10-13 11:10:40",desktop_computers,migrated,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",active,diff_fep,"Lorem ipsum dolor sit, amet consectetur adipisicing elit. Consectetur nemo explicabo iusto facilis dignissimos unde id sint! Dolorum odit, vitae animi consequuntur fugit qui deleniti soluta cum, repudiandae, laudantium, nam.",online,,Qa-test123,35991362173,,,ent13u3623147441521433280,nigeria,AD,10001,,"Lorem ipsum dolor sit, amet consectetur adipisicing elit. Consectetur nemo explicabo iusto facilis dignissimos unde id sint! Dolorum odit, vitae animi consequuntur fugit qui deleniti soluta cum, repudiandae, laudantium, nam.","2024-10-13 11:10:40","Lorem ipsum dolor sit.",1574026032,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",675460926,1836122322,1789047686,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",1334033321,1399613505,"2024-10-13 11:10:40","2024-10-13 11:10:40","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",1475036343,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",,,,,"Lorem ipsum dolor sit.",875939778,"Lorem ipsum dolor sit."
"2024-10-13 11:10:40",mobile,created,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",onboarded,diff_fep,"Lorem ipsum dolor sit, amet consectetur adipisicing elit. Consectetur nemo explicabo iusto facilis dignissimos unde id sint! Dolorum odit, vitae animi consequuntur fugit qui deleniti soluta cum, repudiandae, laudantium, nam.",offline,,Qa-test123,35991362173,,,ent13u36310605911356868202,nigeria,AK,10002,,"Lorem ipsum dolor sit, amet consectetur adipisicing elit. Consectetur nemo explicabo iusto facilis dignissimos unde id sint! Dolorum odit, vitae animi consequuntur fugit qui deleniti soluta cum, repudiandae, laudantium, nam.","2024-10-13 11:10:40","Lorem ipsum dolor sit.",1381983225,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",59678918,1509415885,592150423,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",791159215,211173783,"2024-10-13 11:10:40","2024-10-13 11:10:40","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",1943262885,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",,,,,"Lorem ipsum dolor sit.",194064166,"Lorem ipsum dolor sit."
"2024-10-13 11:10:40",smartphones,migrated,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",test,dup_fep,"Lorem ipsum dolor sit, amet consectetur adipisicing elit. Consectetur nemo explicabo iusto facilis dignissimos unde id sint! Dolorum odit, vitae animi consequuntur fugit qui deleniti soluta cum, repudiandae, laudantium, nam.",online,,Qa-test123,11288038651,,,ent13u36310605911356868202,nigeria,AB,10003,,"Lorem ipsum dolor sit, amet consectetur adipisicing elit. Consectetur nemo explicabo iusto facilis dignissimos unde id sint! Dolorum odit, vitae animi consequuntur fugit qui deleniti soluta cum, repudiandae, laudantium, nam.","2024-10-13 11:10:40","Lorem ipsum dolor sit.",4860413,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",1694053989,46089857,1643448532,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",1109988066,1971424235,"2024-10-13 11:10:40","2024-10-13 11:10:40","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",475955909,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",,,,,"Lorem ipsum dolor sit.",1514304495,"Lorem ipsum dolor sit."
"2024-10-13 11:10:40",laptops,created,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",flagged,dup_fep,"Lorem ipsum dolor sit, amet consectetur adipisicing elit. Consectetur nemo explicabo iusto facilis dignissimos unde id sint! Dolorum odit, vitae animi consequuntur fugit qui deleniti soluta cum, repudiandae, laudantium, nam.",offline,,Qa-test123,15055609632,,,ent13u3623147441521433280,nigeria,AD,10001,,"Lorem ipsum dolor sit, amet consectetur adipisicing elit. Consectetur nemo explicabo iusto facilis dignissimos unde id sint! Dolorum odit, vitae animi consequuntur fugit qui deleniti soluta cum, repudiandae, laudantium, nam.","2024-10-13 11:10:40","Lorem ipsum dolor sit.",1245741719,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",202354222,2140558154,1403793215,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",1022416019,6514540,"2024-10-13 11:10:40","2024-10-13 11:10:40","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",2060304521,"Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.","Lorem ipsum dolor sit.",,,,,"Lorem ipsum dolor sit.",1882960356,"Lorem ipsum dolor sit."
